UF;Ano;RCL ano Anterior;Perc. RCl;Montante Pendente;Montante pago;Saldo após pagamento;Montante expedido ;Divida final;;TOTAL (ÚLTIMOS 12 MESES);RECEITA CORRENTE LÍQUIDA (III) = (I - II);;;;
RR;2023; 6.383.923.484,56 ;1,5%; 669.533.311,93 ; 103.874.359,90 ; 617.203.885,62 ; 120.583.290,92 ; 737.787.176,54 ;;;;;;;
SC;2023; 38.260.230.919,84 ;2,0%; 2.595.208.230,13 ; 322.857.169,08 ; 2.541.242.348,78 ; 497.954.016,49 ; 3.039.196.365,27 ;;;;;;;
SP;2023; 229.464.781.384,87 ;2,0%; 3.203.850.904,32 ; 651.338.145,46 ; 2.958.900.324,08 ; 677.585.535,90 ; 3.636.485.859,98 ;;;;;;;
SE;2023; 11.296.095.375,56 ;1,5%; 1.353.829.415,84 ; 155.823.877,33 ; 1.347.310.649,94 ; 199.596.115,19 ; 1.546.906.765,13 ;;;;;;;
TO;2023; 12.105.998.306,71 ;1,5%; 439.950.485,13 ; 204.868.509,54 ; 377.067.606,16 ; 407.166.888,85 ; 784.234.495,01 ;;;;;;;
AC;2024; 8.573.004.133,41 ;1,5%; 62.320.632,66 ; 41.203.880,28 ; 37.078.529,25 ; 5.969.720,17 ; 43.048.249,42 ;;;;;;;
AL;2024; 14.465.051.819,55 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
AP;2024; 8.040.259.665,33 ;1,5%; 549.981.459,62 ; 116.088.944,69 ; 488.947.161,94 ; 212.468.617,48 ; 701.415.779,42 ;;;;;;;
AM;2024; 22.825.805.777,35 ;1,5%; 869.591,27 ; -   ; 869.591,27 ; -   ; 869.591,27 ;;;;;;;
BA;2024; 57.229.420.301,19 ;1,5%; 8.823.285.774,26 ; 1.292.232.526,85 ; 9.291.471.245,47 ; 1.365.260.317,16 ; 10.656.731.562,63 ;;;;;;;
CE;2024; 31.973.785.169,88 ;1,5%; 838.927.744,73 ; 181.475.916,32 ; 737.301.726,18 ; 232.542.931,81 ; 969.844.657,99 ;;;;;;;
DF;2024; 33.214.094.007,28 ;1,5%; 5.185.205.563,07 ; 754.252.797,88 ; 4.672.363.569,17 ; 812.273.831,96 ; 5.484.637.401,13 ;;;;;;;
ES;2024; 22.373.375.355,79 ;2,0%; -   ; -   ; -   ; -   ; -   ;;;;;;;
GO;2024; 38.407.128.875,35 ;1,5%; 1.716.240.365,03 ; 531.668.095,74 ; 1.272.430.418,83 ; 799.296.797,24 ; 2.071.727.216,07 ;;;;;;;
MA;2024; 23.120.999.553,98 ;1,5%; 1.934.064.144,92 ; 585.511.784,93 ; 1.548.663.408,05 ; 419.886.920,71 ; 1.968.550.328,76 ;;;;;;;
MT;2024; 30.940.901.654,07 ;1,5%; 947.926.611,72 ; 414.576.622,08 ; 317.304.828,64 ; 413.070.195,75 ; 730.375.024,39 ;;;;;;;
MS;2024; 19.756.920.699,77 ;1,5%; -   ; -   ; -   ; -   ; -   ;;;;;;;
MG;2024; 92.079.439.352,23 ;2,0%; 3.385.079.440,32 ; 952.960.840,18 ; 3.601.024.755,82 ; 51.324.912,71 ; 3.652.349.668,53 ;;;;;;;
PA;2024; 36.266.172.141,21 ;1,5%; 68.666,20 ; -   ; 79.800,06 ; -   ; 79.800,06 ;;;;;;;
PB;2024; 16.773.627.778,96 ;1,5%; 7.379.868.193,36 ; 566.219.220,01 ; 7.600.156.547,58 ; 1.662.784.882,82 ; 9.262.941.430,40 ;;;;;;;
PR;2024; 59.565.155.117,88 ;2,0%; 8.190.982.647,52 ; 1.666.674.480,46 ; 6.898.428.106,27 ; 1.294.620.083,82 ; 8.193.048.190,09 ;;;;;;;
PE;2024; 37.830.131.985,44 ;1,5%; 270.271.109,34 ; 282.567.801,46 ; 181.684.501,87 ; 246.352.803,98 ; 428.037.305,85 ;;;;;;;
PI;2024; 15.380.829.481,76 ;1,5%; 2.447.155.190,22 ; 755.189.473,59 ; 2.157.908.615,82 ; 77.628.515,23 ; 2.235.537.131,05 ;;;;;;;
RJ;2024; 88.174.564.730,41 ;2,0%; 10.961.936.040,30 ; 1.845.203.570,37 ; 10.829.528.568,67 ; 3.239.618.490,48 ; 14.069.147.059,15 ;;;;;;;
RN;2024; 16.215.892.205,45 ;1,5%; 3.681.184.695,54 ; 299.656.512,89 ; 3.408.866.256,92 ; 1.712.393.313,53 ; 5.121.259.570,45 ;;;;;;;
RS;2024; 56.639.116.676,26 ;2,0%; 16.404.128.711,23 ; 2.270.390.298,22 ; 14.884.800.700,76 ; 1.591.268.332,03 ; 16.476.069.032,79 ;;;;;;;
